title,description,hub,coeType,enablementCategory,contentType,teams,products,format,externalUrl,videoUrl,slidesUrl,keyAssetUrl,keyAssetLabel,presenter,duration,publishDate,featured,priority
Customer Meeting Template (Megadeck),"This document is the ""Customer Meeting Template aka Megadeck - FY26 Q4 Update,"" a modular presentation for Customer Success Managers and Account Managers to use with current customers.",coe,meeting-asset,,,customer-success,gladly-sidekick,,https://docs.google.com/presentation/d/1BMqm50ls4lJfYPw1TSyoSFjuBmM3u2m8PVEwTNy5Rko/edit?slide=id.g33d39233a97_0_6#slide=id.g33d39233a97_0_6,,,,,,,,FALSE,
Sidekick Lite Calculator,"This document serves as a comprehensive guide for calculating, projecting, and reporting the business value and ROI of the ""Sidekick"" product.",coe,tool,,,customer-success,gladly-sidekick|insights-dashboards,,https://docs.google.com/spreadsheets/d/1PMTbK4qKdIdlFFezp2lT9KQQNI7XQTM0taun7ySAXFk/edit?gid=668504392#gid=668504392,,,,,,,,FALSE,
CSM Compensation,"This document is the CSM Compensation Guide for FY 2026, detailing the Customer Success Manager variable pay models for Q1, Q2, and Q3.",content,,,document,customer-success,,,https://docs.google.com/document/d/1xBiMzV5QbgbcLFkOQTdfm5OOFbEs7uvdb5iX1W4clus/edit?tab=t.9t447anjdwmn#heading=h.obkpegulbcns,,,,,,,,FALSE,
Agent Communication Time Metric Play,This document is a Usage Guide for Customer Success Managers (CSMs) on the Agent Communication Time (ACT) Savings metric and its related dashboards.,coe,tool,,,customer-success,gladly-sidekick|insights-dashboards,,https://docs.google.com/document/d/1WmWw8trPMQW0Pjedem1XZpU1BnckACMhdBs9D-fhb5I/edit?tab=t.0,,,,,,,,FALSE,
Marketing Attribution Guide,"This document, the ""Gladly Attribution Guide,"" establishes the single source of truth for defining and measuring opportunity attribution across all teams, ensuring clear definitions and alignment a...",content,,,document,sales,gladly-team,,https://docs.google.com/presentation/d/18732hX3L2Hm5ySPYd78K_UzoqEWVKbvGcGJVIcn7oQM/edit?usp=sharing,,,,,,,,FALSE,
Internal Segmentation Guide,"This document is Gladly’s Internal Segmentation Guide, which records the company's most used campaign audience lists for sales and marketing efforts.",content,,,document,sales,gladly-team,,https://docs.google.com/document/d/1ccNh6ZByNbiYr4zDymvM1TQQF6JZ3JAGSOwHYIXXATM/edit?usp=sharing,,,,,,,,FALSE,
Bottoms Up Pipeline Target Setting,"This spreadsheet, titled ""Approach Overview,"" appears to be a financial planning or forecasting document for sales and pipeline targets spanning Q1 FY25 through Q4 FY26.",content,,,document,sales,,,https://docs.google.com/spreadsheets/d/1QXJX3_K2bS5LwQj-CAtEhVoC-Hwc5EkWnghYs-IrM8U/edit?usp=sharing,,,,,,,,FALSE,
Marketing Dashboard,Marketing performance dashboard tracking campaigns and attribution metrics.,content,,,document,sales|customer-success,insights-dashboards,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000001rOrdMAE/view?queryScope=userFolders,,,,,,,,FALSE,
Full Funnel Customer Expansion Dash,Full-funnel dashboard for tracking customer expansion opportunities.,content,,,document,sales|customer-success,,,https://gladly.lightning.force.com/lightning/r/Dashboard/01ZQh000002cLtVMAU/view,,,,,,,,FALSE,
Pipeline Reporting - Weekly Bus Review,"This spreadsheet, ""\[This FQ\]*DO NOT EDIT* Synced to Salesforce,"" is a record of sales opportunities.",content,,,document,sales,gladly-sidekick|insights-dashboards,,https://docs.google.com/spreadsheets/d/1OeuVoAEZjRyWrm1_0vtKAT_voOpykuHXqsNF56LX_24/edit?usp=sharing,,,,,,,,FALSE,
Pipeline Reporting - EOQ Documentation,"This spreadsheet, titled ""*DO NOT EDIT* Synced to Salesforce,"" is a sales pipeline or opportunity tracker detailing accounts and their opportunities.",coe,tool,,,sales,gladly-sidekick|insights-dashboards,,https://docs.google.com/spreadsheets/d/11XMQOYakYqJPk7QdEZGKGdPa1mgOAe_N_XWSSPEROHk/edit?usp=sharing,,,,,,,,FALSE,
Pipeline Coverage - Board Reporting,"This spreadsheet, titled ""Coverage Summary,"" tracks key performance indicators related to New Business CARR (Contracted Annual Recurring Revenue) targets, actuals, and pipeline coverage across diff...",content,,,document,sales|customer-success,insights-dashboards,,https://docs.google.com/spreadsheets/d/1lJk3sbUAvABXpzskfh-I7OjwYHCtYb8kM-oWZgx3f0o/edit?usp=sharing,,,,,,,,FALSE,
Gladly Brand Guidelines (High Level),"This document is the **Brand Guidelines (High Level)** presentation, designed to ensure a strong and consistent representation of the Gladly brand across all communications.",content,,,document,sales|customer-success,gladly-team,,https://docs.google.com/presentation/d/10SILxH41R64hYfIngnCsO3nZfbJY7zFDGB2cA9b1FoM/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,,,,FALSE,
Gladly Brand Guidelines,"This document, the Gladly Brand Guidelines, introduces the identity, guiding principles, and elements that express the Gladly brand, covering basic elements like the logotype, colors, typography, v...",content,,,document,sales|customer-success,gladly-team,,https://drive.google.com/file/d/1VnyDlJmpByt7nBbAmBVXQnA4lpBnqM5v/view,,,,,,,,FALSE,
GTM Launch Sizing,"This document, ""GTM Launch Sizing,"" defines a framework of ""T-shirt Sizes"" (X-Large, Large, Medium, Small) to categorize Go-To-Market (GTM) launches based on their scale, required effort, and busin...",content,,,document,sales|customer-success,gladly-team,,https://docs.google.com/document/d/1xbK_FVGttqS2Kd8Hc-uL7U1mCvSelL9uyaD0kGgZUf0/edit?tab=t.0,,,,,,,,FALSE,
Gladly Awards Slide,"This document, titled ""STMP - Awards Wall 2025,"" is a Google Slides presentation containing templates to showcase Gladly's industry awards, specifically highlighting the ""Disruptive Technology of t...",content,,,document,sales,gladly-team,,https://docs.google.com/presentation/d/1JSs7366K039u3AhBiO-vxGEXv6b7avB5XhL_wlvyXSo/edit?slide=id.g36e847b60d7_0_343#slide=id.g36e847b60d7_0_343,,,,,,,,FALSE,
"Case Studies, Testimonials, Social Proof Slides","This presentation, titled ""Social Proof | Case Studies, Testimonials, Social Proof,"" is a collection of customer success stories, quotes, and key metrics demonstrating the impact of the Gladly plat...",coe,meeting-asset,,,sales|customer-success,gladly-sidekick,,https://docs.google.com/presentation/d/1Los9XfjtmFBJbbcY5vUf9YuRhlDzocw5Y9wmJq9Slx8/edit?usp=drive_link,,,,,,,,FALSE,
Inbound Content Tracker,"This spreadsheet, named ""Gladly Editorial Tracker,"" is used to monitor and manage editorial content projects.",content,,,document,sales|customer-success,gladly-team,,https://docs.google.com/spreadsheets/d/1zpjKQfkjY0503zAhMlGVFxtkhJ-iblFiHVREZBFOiMk/edit?gid=1563328928#gid=1563328928,,,,,,,,FALSE,
Content Garden,"This spreadsheet, titled ""Content Garden,"" functions as a comprehensive inventory of content assets, primarily focused on AI and Customer Experience (CX) topics.",content,,,document,sales,,,https://docs.google.com/spreadsheets/d/1y-p4_Ax7PKwfKDRa3djxYLAjD9tnc3m42YmYwa44aE4/edit?gid=921100291#gid=921100291,,,,,,,,FALSE,
Content Cheat Sheet,"This document is the Content Cheat Sheet, a guide from the Gladly Content Team that details their mission, core resources, and current Q3 2025 content priorities and goals.",content,,,document,sales|customer-success,gladly-team,,https://docs.google.com/document/d/1wQGGRdwZEQIUoTYM-g50Qn5m90cSTCpiQ7-jDUPhk7o/edit?tab=t.0#heading=h.qhdqvwp9dmyj,,,,,,,,FALSE,
How To Work With RevOps,"This document, ""How To Work With RevOps,"" serves as a guide to help employees understand the Revenue Operations team, defining what RevOps is responsible for and how they are organized into Operati...",enablement,,internal-ops,,sales|customer-success,insights-dashboards,on-demand,,https://docs.google.com/document/d/1Yi5C5X6SsKeMx0mLloP_kR1gQk9wc3sJL6h-peJbfXw/edit?usp=sharing,,,,,,,FALSE,
Ticket Submission,Asana form for submitting RevOps tickets and operational requests.,content,,,document,sales|customer-success,,,https://form.asana.com/?k=vEFTHN5vMhk-uFvmAXLNmw&d=238013372418030,,,,,,,,FALSE,
How RevOps Launches (Launch Tiering),"This document, ""Gladly RevOps: How We Launch,"" is the definitive playbook for conducting RevOps launches at Gladly.",enablement,,internal-ops,,sales|customer-success,gladly-team,playbook,,https://docs.google.com/document/d/1Sobop3Di3Y5op6yRL-me8D9-cbEHRkeeor2mVlJRCgE/edit?usp=sharing,,,,,,,FALSE,
Project Brief Templates,Templates for creating project brief documents for initiatives.,content,,,document,sales|customer-success,,,https://docs.google.com/document/d/1-6PZXNsCDD6DBZET-Cs8cMWc_WdH4w82z5jeLeIGVKk/template/preview,,,,,,,,FALSE,
User Story Training,"This document, ""User Stories Overview,"" is a presentation that defines user stories as short, simple descriptions of a feature from the user's perspective, explaining their purpose is to focus on v...",enablement,,value-realization,,sales|customer-success,,on-demand,,https://docs.google.com/presentation/d/1fBesrTk4MD-qAhYUrRxBdwvni8hmhmGIm03hLRhUuaw/,,,,,,,FALSE,
Sprint Planning Boards,Asana boards for sprint planning and project management.,content,,,document,sales|customer-success,,,https://app.asana.com/0/portfolio/1209972750071019/1209982290683926,,,,,,,,FALSE,
Core Systems Tips & Tricks,"This collection of documents serves as an internal resource for RevOps, combining system tips with project management templates.",content,,,document,sales,,,https://docs.google.com/document/d/1uBiC3y-yMgVGLkk67u_PUFttIhb9d8Nfc_qmyVM39J8/edit?usp=sharing,,,,,,,,FALSE,
Deal Desk SSOT,"The ""Deal Desk Operations (SSOT)"" document serves as the single source of truth for all sales and customer success personnel on the structure, responsibilities, and processes of the Gladly Deal Des...",enablement,,product,,sales|customer-success|implementation,gladly-sidekick|gladly-team,on-demand,,https://docs.google.com/document/d/1QSvu3dq3JFGTix066tZi-UVVpVRN1n5JpnRavFfCMmQ/edit?tab=t.kvo8s2ytjhp7#heading=h.1l4t046pu02f,,,,,,,FALSE,
Gladly Slide Template,"This document is the Gladly Slide Template 2025, a comprehensive guide designed to ensure all presentations align with the Gladly brand identity.",content,,,document,sales|customer-success,gladly-team,,https://docs.google.com/presentation/d/19gVbxwGuKvJKGDLAyRg_q_wJPcNXhSef-UgaQohEXCI/edit?slide=id.g36025773fef_0_793#slide=id.g36025773fef_0_793,,,,,,,,FALSE,
First Meeting Deck | Release 2.0 | 11/2025,"This document is the ""First Meeting Deck"" for Gladly's AI-powered customer service platform, detailing how their ""Sidekick"" and ""Hero"" agents move beyond deflection to deliver ""outcomes-based"" AI t...",coe,meeting-asset,,,sales|customer-success,gladly-sidekick,,https://docs.google.com/presentation/d/1TzNEZDVrxebVmFrHC4Jw6xhzUCPf4de7AUQ3-BxsNcY/edit?slide=id.g3a79279a5a3_1_2#slide=id.g3a79279a5a3_1_2,,,,,,,,FALSE,
Buyout Program Deck,"This is an internal, templated sales deck for the Gladly Buyout Program, which is designed to offer customers up to nine months free to reduce their upfront adoption costs and quickly realize value.",content,,,deck,sales,gladly-team,,https://docs.google.com/presentation/d/1cIkq1VaWWpDKbLiloUbFm0y0om6STAOwpBlBxHjjNyw/edit?slide=id.g26455bc3513_4_48#slide=id.g26455bc3513_4_48,,,,,,,,FALSE,
White Glove Implementation Service Template,"This document is the ""SALES: White Glove Implementation Service Template,"" designed to present a premium, personalized implementation offering.",content,,,document,sales|implementation,,,https://docs.google.com/presentation/d/1jz0QT608uwqKy4-Q_EHKmCK4LBhGU6-E5O_g91f-nHY/edit?slide=id.g26455bc3513_4_48#slide=id.g26455bc3513_4_48,,,,,,,,FALSE,
"Architecture, Security, and Integrations Deck","This document, titled ""STMP | Architecture & Security Slides | FY25 Q1,"" is a technical presentation detailing the Gladly Platform's architecture, security, reliability, and integrations, including...",content,,,deck,sales|solutions-consultant,gladly-team|app-platform,,https://docs.google.com/presentation/d/1Y5rf0oVvCpRwaDr-3cpDNHx4vNhi3NAtlpRealb2vVc/edit#slide=id.p1,,,,,,,,FALSE,
RFP Responses - Features and Capabilities Catalog,"This document is the ""Gladly Features and Capabilities Catalog,"" structured as a detailed response to a Request for Proposal (RFP) for the Gladly platform.",content,,,document,sales,gladly-team|insights-dashboards,,https://docs.google.com/presentation/d/18QltI12crYoWGqTH7VuJcR7OzcTGRsW3H7lavT_QqyE/edit#slide=id.p1,,,,,,,,FALSE,
RFX Narrative Template,"This document is the **STMP - RFP Narrative Template - Updated 2025**, a comprehensive proposal presentation from Gladly designed to respond to a potential client's Request for Proposal (RFP) for a...",content,,,document,sales|implementation,gladly-team,,https://docs.google.com/presentation/d/1k65pLU9t9JI8pHXfzBhO2aAT-WyEpvPTt1x2M8MgEOQ/edit#slide=id.p,,,,,,,,FALSE,
101 Sales Implementation Template,"This is the ""Implementation Template: 101 Sales"" deck, a resource for the Sales team to quickly share Gladly’s implementation process and philosophy with a newly signed customer.",content,,,document,sales|implementation,gladly-team,,https://docs.google.com/presentation/d/1MHch8KiJuchtUqvvzda3d6H4kUPi39ixqPoUNYhIQSk/edit?usp=drive_link,,,,,,,,FALSE,
201 SC Implementation Template,"This is the ""Implementation Template: 201 SC"" presentation, a customizable template intended for a Solutions Consultant to use during the scoping phase with a newly signed Gladly customer.",enablement,,product,,solutions-consultant|implementation,gladly-team,on-demand,,https://docs.google.com/presentation/d/1uDIMkEiY8htWjZaDt9L3LLXfZRehtXwCh9g8e3mmBUg/edit?usp=drive_link,,,,,,,FALSE,
301 PS Implementation Template,"This is the ""Implementation Template: 301 PS,"" a Google Slides deck used by Professional Services during a customer Kickoff call.",content,,,document,implementation|ps,gladly-sidekick,,https://docs.google.com/presentation/d/1WUXfLCKP4O1CQdoM3qbD-PyCVy5RyjZe4E6XuEGY1dQ/edit?usp=drive_link,,,,,,,,FALSE,
Answer Threads Kickoff Implementation Template,This document is a template presentation for the **Q1 FY26: Answer Threads Implementation Kickoff** with a customer.,coe,meeting-asset,,,implementation,gladly-team|journeys,,https://docs.google.com/presentation/d/1Kck65Q3II0SPTM1pFjmG3aXRyyRV6pHWfWldkXLzDYU/edit#slide=id.g333874597c4_0_558,,,,,,,,FALSE,
App Platform Slides,"This presentation introduces Gladly's App Platform, designed to simplify tool integration and accelerate time-to-value for customers.",content,,,deck,sales,gladly-team|app-platform,,https://docs.google.com/presentation/d/18TvAZs-KoYBWxobfOoVSuLHaLH4bckn6PSpM-iprlv0/edit#slide=id.g319cd228772_0_0,,,,,,,,FALSE,
AI Features Slides,"This presentation, titled ""STMP | AI Products | FY25 Q4,"" outlines the strategy and features of Gladly's AI products, detailing core components like the AI Engine and its functionalities, such as a...",content,,,deck,sales|customer-success,gladly-team|insights-dashboards,,https://docs.google.com/presentation/d/1mqnnp2wbyKhzbv_VLbqiuL5ChbWgEksOeSc7lXLRAuw/edit#slide=id.g27fbb62b23c_0_0,,,,,,,,FALSE,
Sidekick Voice Slides,"This document is a presentation introducing Gladly's ""Sidekick Voice,"" an AI-driven solution aimed at modernizing the traditional call center experience.",content,,,deck,sales|customer-success,gladly-sidekick,,https://docs.google.com/presentation/d/1vYEjttrei1fGRNlykK5M-rDd58VEDd1RdomUQRkcZ4E/edit?slide=id.g3529b49ba55_0_23#slide=id.g3529b49ba55_0_23,,,,,,,,FALSE,
Sidekick Standalone Slides,"This presentation, titled ""STMP: Gladly Standalone,"" is a sales and marketing deck introducing Gladly's AI-powered agent, Sidekick.",content,,,deck,sales|customer-success,gladly-sidekick,,https://docs.google.com/presentation/d/13zg3jeg-RM2d8IY04dsXC4gxZfveHg6fYIVMOTueCTc/edit?slide=id.g3533f3539b1_0_332#slide=id.g3533f3539b1_0_332,,,,,,,,FALSE,
Gladly Awards Slide,"This presentation, titled ""STMP - Awards Wall 2025,"" is a collection of Google Slides templates designed to showcase the ""Disruptive Technology of the Year"" awards and other industry recognition.",content,,,document,sales|customer-success,gladly-team,,https://docs.google.com/presentation/d/1JSs7366K039u3AhBiO-vxGEXv6b7avB5XhL_wlvyXSo/edit?slide=id.g36e847b60d7_0_343#slide=id.g36e847b60d7_0_343,,,,,,,,FALSE,
Nascar Logo Slides,"This presentation, titled ""STMP | Social Proof | Nascar Customer Logo Grids | FY25 Q2,"" contains updated customer logo grids for various industries, including Multi-Brand Retail, Food & Beverage, M...",content,,,deck,sales,,,https://docs.google.com/presentation/d/1u-Gc5HrRicUZbsJ6tIUaEze_9TP4kC8huqeYBStOSi8/edit#slide=id.p,,,,,,,,FALSE,
Travel & Hospitality Slides,"This slide library is a template focused on the Travel and Hospitality industry, designed to demonstrate how the Gladly platform transforms guest experiences into lifetime loyalty.",content,,,deck,sales,gladly-team,,https://docs.google.com/presentation/d/1MI-aor97oMteJp9ipZZDSK6gunKPhqYWCHCxjW34V9g/edit#slide=id.g3147ecaf258_0_884,,,,,,,,FALSE,
Online Marketplace Slides,"This is a confidential Google Slides presentation titled ""STMP - Slide Library - Online Marketplaces [FY25 Q4],"" which serves as a resource for Gladly's sales or marketing team.",coe,meeting-asset,,,sales,gladly-team,,https://docs.google.com/presentation/d/15lQocvlxIJKRoycn19k15Lc-oUr2Ih6jv4dJtww80_E/edit?slide=id.g3147ecaf258_0_888#slide=id.g3147ecaf258_0_888,,,,,,,,FALSE,
Partnership Capabilities Slides,"This presentation, titled ""STMP | Partner Slides,"" serves as a sales or informational deck showcasing integrated solutions for Workforce Management (WFM), Quality Assurance (QA), and Customer Satis...",content,,,deck,sales|customer-success,gladly-team,,https://docs.google.com/presentation/d/1sd2ld7dUydTXCfVP8dE6KwFewmMpj3B26NcU6DbeIfA/edit?slide=id.p1#slide=id.p1,,,,,,,,FALSE,
Playvox + Gladly Slides,"This presentation outlines the reseller partnership between Gladly and Playvox, a Workforce Engagement Management solution, built for the modern omnichannel service center.",content,,,deck,sales,gladly-team,,https://docs.google.com/presentation/d/1PY70p8qPXZ49bgKc8rdywP6OnVXAhZoXXCizqeBZ-X8/edit?usp=drive_link,,,,,,,,FALSE,
MaestoQA + Gladly Slides,"This is the **MaestroQA | Tech Alliance Partner (Gladly Field Enablement Deck)**, which outlines MaestroQA's omni-channel Quality Assurance and CX Insights solution for next-generation customer ser...",enablement,,partner,,customer-success,gladly-team|insights-dashboards,on-demand,,https://docs.google.com/presentation/d/1OM_aNQgUp8MKVLPf1LdK8jkdsTeAUfGTakCPvsmalEI/edit,,,,,,,FALSE,
Clarabridge + Gladly Slides,This document is a sales or informational presentation about the partnership and integration between Gladly and Clarabridge (CB).,content,,,deck,sales,gladly-team|insights-dashboards,,https://docs.google.com/presentation/d/1XdwvIfMwwB-P725iiBWrKT7t30Je4Hax/edit#slide=id.p1,,,,,,,,FALSE,
12/11/25 Enablement: MM/ENT Closing Excellence S4 -> Close,"This folder contains the training content for the final phases of the Enterprise and Mid-Market sales process, covering Stage 4 (Finalist) through Stage 5 (Contracting) to Closed Won.",enablement,,product,,sales|customer-success,,live-replay,,https://drive.google.com/drive/folders/1OFJnIPA3kgjAbtk5bcc9HRKWfC02j0qu,,,,,,,FALSE,
12/10/25 Enablement: SMB Sales Process Traning,"This folder is a training and reference resource for the Small-to-Medium Business (SMB) team on their new, simplified sales process.",enablement,,gtm-strategy,,sales,,on-demand,,https://drive.google.com/drive/folders/1OfgqX2HaLKpcgZAI-912TToKg1HrvmkY,,,,,,,FALSE,
12/10/25 Enablement:Partnerships Barrel,"This folder contains the notes and a recording of the ""Monthly Partnership Enablement"" session from December 10, 2025, which introduced the new agency partnership with Barrel.",coe,tool,,,sales|customer-success,gladly-team,,https://drive.google.com/drive/folders/1r22E2YGiczq7fe3nCok1pHyIFf5r1cHS,,,,,,,,FALSE,
12/4/25 Enablement:ENT/MM: Early Stage Execution S1>S3,"This selection of documents and sheets focuses on sales and Go-to-Market (GTM) strategy for Gladly, encompassing a GTM hub, competitor battlecards, and detailed sales process documentation.",enablement,,competitive,,sales,gladly-team|guides,playbook,,https://drive.google.com/drive/folders/1WLdRQ7c1tPNfwkUdzXVb9U0-pmhN5RUe,,,,,,,FALSE,
11/13/25 Enablement: Gladly Sales Process: S0 -> S1,"This selection of documents and sheets focuses on sales and Go-to-Market (GTM) strategy for Gladly, encompassing a GTM hub, competitor battlecards, and detailed sales process documentation.",enablement,,competitive,,sales,gladly-team|guides,playbook,,https://drive.google.com/drive/folders/1xbjiuteJWWVkT8K2GvNNLriS0R3urzrS?usp=drive_link,,,,,,,FALSE,
"11/13/25 Enablement: Social Comments, Product Enhancement Requests, + Competitive Partner Support","This folder contains the presentation and notes from an Enablement Hour session held on November 13, 2025, which details three key business updates.",enablement,,competitive,,sales,,on-demand,,https://drive.google.com/drive/folders/1OlOt1WdDLyFpOfX_eBkYLbGpOWkexTq0,,,,,,,FALSE,
11/12/25  Enablement: Unwrapped AI Partnership Enablement,"This video is a recording of a ""Monthly Partnership Enablement"" session where Nathan Smith of Gladly introduces Ben and Ryan from Unwrap.ai, a new data analytics partner.",enablement,,partner,,customer-success,gladly-team|insights-dashboards,live-replay,,https://drive.google.com/file/d/1DHUypayeAeLeiXSsOIcNwvd-jFm4aQy4/view,,,,,,,FALSE,
10/16/25 Enablement: Technical Buyer (CIO/CTO),"The folder contains materials from the ""EH 10/16/25: Technical Buyer Enablement"" session, which addresses the urgent need for the sales team to proactively engage with CIO and CTO personas at key a...",enablement,,competitive,,sales,,on-demand,,https://drive.google.com/drive/folders/1nbfFUgTi095VsfX3AmmzmuaSYzQocC_6,,,,,,,FALSE,
9/11/25 Enablement:Sidekick Sales Launch Enablement,"This folder contains the complete sales enablement and launch materials for ""Sidekick Sales,"" an AI-powered shopping assistant that transforms customer conversations into revenue.",enablement,,competitive,,sales,gladly-sidekick,on-demand,,https://drive.google.com/drive/folders/13Py0_Jo_W0hPjBmuvoSvASzoGAuY76JB,,,,,,,FALSE,
9/4/25 Enablement: Flip Competitive + SK Voice Roadmap,"The folder ""EH 9/4/25: Flip Competitive + SK Voice Roadmap"" contains materials primarily focused on positioning Gladly's Sidekick Voice product against its competitor, Flip.",enablement,,competitive,,sales,gladly-sidekick,on-demand,,https://drive.google.com/drive/folders/1HpX_xLFPJVlACOUl3IM9v5rB589JMFli?usp=drive_link,,,,,,,FALSE,
8/28/25 Enablement: Sidekick Standalone Land Grab,"The ""EH 8/28/25: Sidekick Standalone Land Grab"" folder contains a video recording, a presentation, and meeting notes from an Enablement Hour session on August 28, 2025.",enablement,,gtm-strategy,,sales,gladly-sidekick,live-replay,,https://drive.google.com/drive/folders/1iHvQKRgV62igGJOs78hiLFqWeJ7pQADb?usp=drive_link,,,,,,,FALSE,
8/21/25 Enablement: Sales Activity Expectations & SK Voice AMA,"contains materials from an enablement session titled ""Sales Activity Expectations & SK Voice AMA"" from August 21, 2025.",enablement,,competitive,,sales,gladly-sidekick,on-demand,,https://drive.google.com/drive/folders/1E2AScNwdHcEPceLLijcPVbMV3ur4CoV9,,,,,,,FALSE,
8/13/25 Enablement: SimpleSat Partnership Enablement,"Partnership 8/13/15: SimpleSat folder, which contains four files including a training plan, presentation, and meeting notes.",enablement,,partner,,sales|customer-success,gladly-team,on-demand,,https://drive.google.com/drive/folders/1nzLYQOMUioW4tN6N9qb2KuCxKyjxp6G0,,,,,,,FALSE,
7/17/25 Enablement: BVA SLA + Live Demo Walkthrough,This folder contains resources from an Enablement Hour session focused on two key sales topics: a new Business Value Assessment (BVA) process and the training materials for a 15-Minute Demo Certifi...,coe,meeting-asset,,,sales,,,https://drive.google.com/drive/folders/1ln1XqawDwxRGg9o1AvjVKfTemyKNc_hb?usp=drive_link,,,,,,,,FALSE,
Enablement: Field Demo Certification Intro,"The folder contains a presentation, meeting notes, and a recording related to the Field Demo Certification program, which is designed to train Account Executives, Account Managers, and Solutions Co...",enablement,,partner,,customer-success|solutions-consultant,gladly-team,live-replay,,https://drive.google.com/drive/folders/1fprUSo0UDj0cee4BI85oPwrI8CKWlgbP,,,,,,,FALSE,
7/3/2025 Enablement: July All Hands,"The GTM AH: 7/3/25 July folder contains five shortcuts to files, including the notes, slides, and recording from the July 3, 2025, Go-to-Market All Hands meeting.",enablement,,gtm-strategy,,sales,gladly-sidekick,live-replay,,https://drive.google.com/drive/folders/1HXrK9pAtoMhPLr41atfGzmOSD9aplgpV,,,,,,,FALSE,
6/26/25 Enablement: Sidekick for Zendesk,"The ""EH 6/26/25: Sidekick for Zendesk"" folder contains three files from the Enablement Hour on that date, which are focused on launching and selling the Sidekick Standalone for Zendesk offering.",enablement,,technical,,sales|solutions-consultant,gladly-sidekick,course,,https://drive.google.com/drive/folders/1IFwYsGN6lGSNfrY_djYE9Ad8laPVAQZv,,,,,,,FALSE,
Enablement:Apollo.io Enablement,Apollo.io integration enablement training and best practices.,enablement,,internal-ops,,sales|customer-success,,on-demand,,https://us-5287.app.gong.io/e/c-share/?tkn=1tl7kn6trsm38i5gk6gvgcri1&email_type=external-invitation-sent&xtid=3uwe6ri6ovh1tup14af,,,,,,,FALSE,
6/18/25 Enablement: SK for email + App Platform,"EH 6/18/25: SK for Email + App Platform, contains the notes and presentation slides from a June 18, 2025, enablement session for the sales and go-to-market teams.",enablement,,value-realization,,sales,gladly-sidekick|guides|app-platform,on-demand,,https://drive.google.com/drive/folders/1u8rrVzUyw3uhc7Ih5U8wodF_HI7mDXu8?usp=drive_link,,,,,,,FALSE,
6/12/25 Enablement: Selling High + FM Deck,"This presentation serves as sales enablement material, covering both the content for the refreshed ""First Meeting Deck"" and strategies for ""Selling High"" to executive-level contacts.",enablement,,gtm-strategy,,sales,gladly-team,on-demand,,https://docs.google.com/presentation/d/11LraGLfKuVWTg2IpB302i4W3XhA6rbsoW799J5HSvYY/edit?slide=id.g36081577ae8_0_0#slide=id.g36081577ae8_0_0,,,,,,,FALSE,
6/6/25 Enablement: Sales All Hands - Sidekick Standalone,"This document is a Google Slides presentation for a Sales All Hands meeting held on June 6, 2025, focused on the launch and go-to-market strategy for the Sidekick Standalone product.",enablement,,gtm-strategy,,sales,gladly-sidekick,on-demand,,https://docs.google.com/presentation/d/14UUKmbBjbszjve29d4Kuic2DEvmOlVcourgjEdnzWmc/edit?slide=id.p#slide=id.p,,,,,,,FALSE,
6/5/25 Enablement: June GTM All Hands,"This folder contains the meeting notes and presentation deck from the June 5, 2025, Go-To-Market (GTM) All Hands session.",enablement,,competitive,,sales,gladly-sidekick|guides|journeys|app-platform,course,,https://drive.google.com/drive/folders/1rn3LiHevDt4ycc6IpJyoo3W3vSOeZ6qa,,,,,,,FALSE,
Enablement: Answers on Voice Async Enablement,Training on implementing Answers on Voice for async customer support.,enablement,,internal-ops,,sales|customer-success,,on-demand,,https://classroom.google.com/w/NzM1NTM3MjkxNzQx/tc/Nzg2ODk1Njg4NzI3,,,,,,,FALSE,
5/9/25 Enablement: Sidekick Standalone Tactical Enablement,"The ""EH: 5/9/25 Sidekick Standalone Qualification, Discovery, Objection Handling"" folder contains comprehensive enablement materials for the launch of the new Sidekick Standalone product, including...",enablement,,competitive,,sales|implementation,gladly-sidekick,on-demand,,https://drive.google.com/drive/folders/1t5F7F5nUg9aEewVTgKXoynn7IC3goro2,,,,,,,FALSE,
5/25/25 Enablement: Sidekick Standalone + Sidekick Sales,"The folder contains foundational enablement documents, including a presentation and notes, from the May 2, 2025 session on the new Sidekick for Zendesk (Standalone) and Sidekick Sales products, det...",enablement,,value-realization,,sales,gladly-sidekick,on-demand,,https://drive.google.com/drive/folders/1MGcyQeRUqXHwbwvN8o0pRDf2x3haT4ww,,,,,,,FALSE,
4/24/25 Enablement: Journey For Answers Technical AMA + White Glove Service,"The ""EH: 4/24/25 White Glove Play + Journeys Technical AMA"" folder contains materials from a Gladly Enablement Hour session held on April 24, 2025, which introduced two key company initiatives.",enablement,,technical,,sales|solutions-consultant|implementation,gladly-sidekick|journeys,on-demand,,https://drive.google.com/drive/folders/13o-69Hd3c17N0f1-t46RIxTORB5fIlMf,,,,,,,FALSE,
